name,sworn,type,state,county,city,ftciv,ptciv,ptsworn,zip,fips
Wisconsin Dells Police Department,13,Local police department,WI,Columbia,Wisconsin Dells,6,2,8,53965,55021
Winnfield Police Dept,13,Local police department,LA,Winn,Winnfield,5,10,6,71483,22127
Alexandria Police,13,Local police department,IN,Madison,Alexandria,6,0,0,46001,18095
Keweenaw Bay Tribal Police Department,13,Local police department,MI,Baraga,Baraga,1,0,0,49908,26013
Hillview Police Department,13,Local police department,KY,Bullitt,Louisville,0,1,1,40229,21029
Nassau Bay Police Department,13,Local police department,TX,Harris,Houston,1,4,0,77258,48201
Alpine Borough Police,13,Local police department,NJ,Bergen,Alpine,0,0,0,7620,34003
Weaverville Police Department,13,Local police department,NC,Buncombe,Weaverville,1,0,0,28787,37021
Nanticoke Police Department,13,Local police department,PA,Luzerne,Nanticoke,1,0,0,18634,42079
Gibsonville Police Department,13,Local police department,NC,Guilford,Gibsonville,1,0,10,27249,37081
Alpena County Sheriff's Office,13,Sheriff's office,MI,Alpena,Alpena,13,0,2,49707,26007
Spencer Police Department,13,Local police department,NC,Rowan,Spencer,1,0,6,28159,37159
Alleghany County Sheriff's Office,13,Sheriff's office,NC,Alleghany,Sparta,17,4,1,28675,37005
Waverly Police Department,13,Local police department,TN,Humphreys,Waverly,1,0,0,37185,47085
Lloyd Harbor Village Police Department,13,Local police department,NY,Suffolk,Huntington,1,1,0,11743,36103
Westlake Hills Police Department,13,Local police department,TX,Travis,Austin,6,0,1,78746,48453
Washington County Sheriff's Office,13,Sheriff's office,ME,Washington,Machias,28,5,15,4654,23029
Solebury Township Police Department,13,Local police department,PA,Bucks,Solebury,2,0,4,18963,42017
Tisbury Police Department,13,Local police department,MA,Dukes,Tisbury,3,6,0,2575,25007
Eufaula Police Department,13,Local police department,OK,McIntosh,Eufaula,4,3,6,74432,40091
Ward County Sheriff's Office,13,Sheriff's office,TX,Ward,Monahans,19,0,0,79756,48475
Hartford City Police,13,Local police department,IN,Blackford,Hartford City,2,1,0,47348,18009
New Franklin Police Department,13,Local police department,OH,Summit,Akron,5,2,9,44319,39153
Lockland Police Department,13,Local police department,OH,Hamilton,Cincinnati,2,0,5,45215,39061
Dalworthington Gardens Police Department,13,Local police department,TX,Tarrant,Dalworthington Gardens,6,0,1,76016,48439
Douglas County Sheriff's Office,13,Sheriff's office,IL,Douglas,Tuscola,17,2,4,61953,17041
Andover Township Police,13,Local police department,NJ,Sussex,Newton,6,5,0,7860,34037
Bern Township Police Department,13,Local police department,PA,Berks,Reading,0,1,0,19605,42011
Sequoyah County Sheriff's Office,13,Sheriff's office,OK,Sequoyah,Sallisaw,5,0,3,74955,40135
Okmulgee County Sheriff's Office,13,Sheriff's office,OK,Okmulgee,Okmulgee,1,18,1,74447,40111
Benzie County Sheriff's Office,13,Sheriff's office,MI,Benzie,Beulah,25,3,3,49617,26019
Macon Police Department,13,Local police department,MO,Macon,Macon,2,5,2,63552,29121
Upper Sandusky Police Department,13,Local police department,OH,Wyandot,Upper Sandusky,0,0,8,43351,39175
Reno/Sparks Indian Colony Tribal Police Department,13,Local police department,NV,Washoe,Reno,1,0,1,89502,32031
Willis Police Department,13,Local police department,TX,Montgomery,Willis,2,0,1,77378,48339
Washington Township Police,13,Local police department,NJ,Warren,Washington,1,0,0,7882,34041
Lake Dallas Police Department,13,Local police department,TX,Denton,Lake Dallas,9,1,0,75065,48121
Selah Police Department,13,Local police department,WA,Yakima,Selah,1,1,0,98942,53077
Slaton Police Department,13,Local police department,TX,Lubbock,Slaton,5,1,0,79364,48303
West Boylston Police Department,13,Local police department,MA,Worcester,West Boylston,5,0,0,1583,25027
Mason Police Department,13,Local police department,MI,Ingham,Mason,1,2,0,48854,26065
Santa Ana Tribal Police Department,13,Local police department,NM,Sandoval,Bernalillo,1,0,0,87004,35043
Columbia County Sheriff's Office,13,Sheriff's office,AR,Columbia,Magnolia,5,0,1,71754,5027
Hamilton Police Department,13,Local police department,MT,Ravalli,Hamilton,1,1,0,59840,30081
Dimmit County Sheriff's Office,13,Sheriff's office,TX,Dimmit,Carrizo Springs,3,0,0,78834,48127
Scottsburg Police,13,Local police department,IN,Scott,Scottsburg,1,1,0,47170,18143
Webster County Sheriff's Office,13,Sheriff's office,MO,Webster,Marshfield,3,1,0,65706,29225
Lacy Lakeview Police Department,13,Local police department,TX,McLennan,Waco,8,2,4,76715,48309
Crystal Springs Police Department,13,Local police department,MS,Copiah,Crystal Springs,4,1,1,39059,28029
Park Hills Police Dept.,13,Local police department,MO,St. Francois,Park Hills,1,0,6,63601,29187
Brimfield Township Police Department,13,Local police department,OH,Portage,Brimfield,6,0,0,44240,39133
Folly Beach Public Safety,13,Local police department,SC,Charleston,Folly Beach,7,2,0,29439,45019
Liberty County Sheriff's Office,13,Sheriff's office,FL,Liberty,Bristol,22,1,1,32321,12077
Biltmore Forest Police Department,13,Local police department,NC,Buncombe,Asheville,1,0,0,28803,37021
Williston Police Department,13,Local police department,VT,Chittenden,Williston,3,0,2,5495,50007
La Grange Police Department,13,Local police department,KY,Oldham,La Grange,0,2,0,40031,21185
Scotia Village Police Department,13,Local police department,NY,Schenectady,Scotia,1,0,0,12302,36093
Richfield Police Department,13,Local police department,UT,Sevier,Richfield,2,7,1,84701,49041
Mascoutah Police Dept,13,Local police department,IL,St. Clair,Mascoutah,1,0,0,62258,17163
Lower Alloways Creek Police,13,Local police department,NJ,Salem,Hancocks Bridge,5,8,1,8038,34033
Franconia Township Police Department,13,Local police department,PA,Montgomery,Franconia,1,2,2,18924,42091
Johnson County Sheriff's Office,13,Sheriff's office,WY,Johnson,Buffalo,31,0,0,82834,56019
Campbell Police Department,13,Local police department,OH,Mahoning,Campbell,0,0,7,44405,39099
Gem County Sheriff's Office,13,Sheriff's office,ID,Gem,Emmett,20,0,0,83617,16045
Clark County Sheriff's Office,13,Sheriff's office,AR,Clark,Arkadelphia,11,2,4,71923,5019
Spindale Police Department,13,Local police department,NC,Rutherford,Spindale,0,0,0,28160,37161
Sioux County Sheriff's Office,13,Sheriff's office,IA,Sioux,Orange City,24,7,8,51041,19167
Sauk Rapids Police Department,13,Local police department,MN,Benton,Sauk Rapids,1,0,0,56379,27009
Houston County Sheriff's Office,13,Sheriff's office,MN,Houston,Caledonia,11,25,4,55921,27055
Ralston Police Dept,13,Local police department,NE,Douglas,Ralston,2,0,0,68127,31055
Ocean Isle Beach Police Department,13,Local police department,NC,Brunswick,Ocean Isle Beach,0,0,8,28469,37019
Woodmere Police Department,13,Local police department,OH,Cuyahoga,Woodmere,0,0,0,44122,39035
Horseheads Village Police Department,13,Local police department,NY,Chemung,Horseheads,2,8,0,14845,36015
Collier Township Police Department,13,Local police department,PA,Allegheny,Presto,1,0,0,15142,42003
Beloit Township Police Department,13,Local police department,WI,Rock,Beloit,2,0,1,53511,55105
Maryville Police Dept,13,Local police department,IL,Madison,Maryville,5,3,0,62062,17119
Lyon County Sheriff's Office,13,Sheriff's office,MN,Lyon,Marshall,27,2,0,56258,27083
Seminole Police Department,13,Local police department,OK,Seminole,Seminole,6,0,10,74868,40133
Leitchfield Police Department,13,Local police department,KY,Grayson,Leitchfield,1,0,1,42754,21085
Twin Lakes Police Department,13,Local police department,WI,Kenosha,Twin Lakes,5,0,14,53181,55059
Chickasaw County Sheriff's Office,13,Sheriff's office,MS,Chickasaw,Houston,19,6,1,38851,28017
Madison Police Department,13,Local police department,NC,Rockingham,Madison,0,1,1,27025,37157
Howard County Sheriff's Office,13,Sheriff's office,TX,Howard,Big Spring,20,3,0,79720,48227
Lanier County Sheriff's Office,13,Sheriff's office,GA,Lanier,Lakeland,7,5,0,31635,13173
Surry County Sheriff's Office,13,Sheriff's office,VA,Surry,Surry,9,0,0,23883,51181
Vandalia Police Dept,13,Local police department,IL,Fayette,Vandalia,5,1,0,62471,17051
Atoka Police Department,13,Local police department,TN,Tipton,Atoka,1,0,2,38004,47167
Dickinson County Sheriff's Office,13,Sheriff's office,MI,Dickinson,Iron Mountain,18,8,5,49801,26043
Roosevelt County Sheriff's Office,13,Sheriff's office,NM,Roosevelt,Portales,3,0,0,88130,35041
Scottsville Police Department,13,Local police department,KY,Allen,Scottsville,7,1,0,42164,21003
Washington Borough Police,13,Local police department,NJ,Warren,Washington,1,12,0,7882,34041
Shamokin Police Department,13,Local police department,PA,Northumberland,Shamokin,0,3,0,17872,42097
Sterling Police Department,13,Local police department,MA,Worcester,Sterling,1,1,0,1564,25027
Titusville Police Department,13,Local police department,PA,Crawford,Titusville,1,0,0,16354,42039
Boxford Police Department,13,Local police department,MA,Essex,Boxford,0,1,12,1921,25009
Harrison County Sheriff's Office,13,Sheriff's office,OH,Harrison,Cadiz,5,1,2,43907,39067
Louisburg Police Department,13,Local police department,NC,Franklin,Louisburg,1,0,2,27549,37069
Stoddard County Sheriff's Office,13,Sheriff's office,MO,Stoddard,Bloomfield,11,3,10,63825,29207
Jefferson County Sheriff's Office,13,Sheriff's office,IN,Jefferson,Madison,22,2,0,47250,18077
Wyandot County Sheriff's Office,13,Sheriff's office,OH,Wyandot,Upper Sandusky,11,1,0,43351,39175
Cambridge Police Department,13,Local police department,MN,Isanti,Cambridge,2,0,0,55008,27059
Crisfield Police Department,13,Local police department,MD,Somerset,Crisfield,3,1,0,21817,24039
Newbury Police Department,13,Local police department,MA,Essex,Newbury,1,5,5,1951,25009
Wise Police Department,13,Local police department,VA,Wise,Wise,1,0,0,24293,51195
North Syracuse Village Police Department,13,Local police department,NY,Onondaga,North Syracuse,1,2,2,13212,36067
Richmond Police Department,13,Local police department,RI,Washington,Wyoming,5,0,4,2898,44009
White County Sheriff's Office,13,Sheriff's office,IN,White,Monticello,21,0,0,47960,18181
Lawrence County Sheriff's Office,13,Sheriff's office,AR,Lawrence,Walnut Ridge,0,0,10,72476,5075
Madeira Police Department,13,Local police department,OH,Hamilton,Cincinnati,1,10,0,45243,39061
Richland County Sheriff's Office,13,Sheriff's office,ND,Richland,Wahpeton,12,0,0,58075,38077
Littlefield Police Department,13,Local police department,TX,Lamb,Littlefield,8,0,0,79339,48279
Hempstead County Sheriff's Office,13,Sheriff's office,AR,Hempstead,Hope,30,0,0,71802,5057
Berlin Police Department,13,Local police department,MD,Worcester,Berlin,5,3,0,21811,24047
Fort Mitchell Police Department,13,Local police department,KY,Kenton,Fort Mitchell,0,0,0,41,21117
Livingston Police Department,13,Local police department,MT,Park,Livingston,0,1,0,59047,30067
Seneca Falls Village Police Department,13,Local police department,NY,Seneca,Seneca Falls,3,0,0,13148,36099
Alma Department of Public Safety,13,Local police department,MI,Gratiot,Alma,1,1,1,48801,26057
Great Barrington Police Department,13,Local police department,MA,Berkshire,Great Barrington,1,0,0,1230,25003
Farmerville Police Department,13,Local police department,LA,Union,Farmerville,0,1,4,71241,22111
Canton Police Department,13,Local police department,NC,Haywood,Canton,6,0,2,28716,37087
North Coventry Township Police Department,13,Local police department,PA,Chester,Pottstown,1,2,0,19465,42029
Center Township Police Department,13,Local police department,PA,Beaver,Aliquippa,1,0,8,15001,42007
Berry Hill Police Department,13,Local police department,TN,Davidson,Berry Hill,4,1,0,37204,47037
Olney Police Dept,13,Local police department,IL,Richland,Olney,6,3,0,62450,17159
Wellfleet Police Department,13,Local police department,MA,Barnstable,Wellfleet,5,2,1,2667,25001
Broken Bow Police Department,13,Local police department,OK,McCurtain,Broken Bow,5,0,0,74728,40089
Purcellville Police Department,13,Local police department,VA,Loudoun,Purcellville,1,1,0,20132,51107
Spring Hill Police Department,13,Local police department,KS,Johnson,Spring Hill,2,0,0,66083,20091
Westminster Police Department,13,Local police department,MA,Worcester,Westminster,5,12,6,1473,25027
Carbondale City Police Department,13,Local police department,PA,Lackawanna,Carbondale,0,0,13,18407,42069
Stilwell Police Department,13,Local police department,OK,Adair,Stilwell,6,1,0,74960,40001
Rossford Police Department,13,Local police department,OH,Wood,Rossford,1,0,0,43460,39173
Giddings Police Department,13,Local police department,TX,Lee,Giddings,5,0,0,78942,48287
Brookfield Township Police Department,13,Local police department,WI,Waukesha,Brookfield,1,1,5,53045,55133
Stowe Police Department,13,Local police department,VT,Lamoille,Stowe,1,0,9,5672,50015
Denton Police Department,13,Local police department,MD,Caroline,Denton,1,2,1,21629,24011
Old Tappan Police,13,Local police department,NJ,Bergen,Old Tappan,1,0,0,7675,34003
Sheffield Village Police Department,13,Local police department,OH,Lorain,Sheffield Village,4,6,4,44054,39093
Mount Joy Borough Police Department,13,Local police department,PA,Lancaster,Mount Joy,2,1,3,17552,42071
Manistee County Sheriff's Office,13,Sheriff's office,MI,Manistee,Manistee,17,0,0,49660,26101
Mound Police Department,13,Local police department,MN,Hennepin,Mound,3,1,0,55364,27053
Yell County Sheriff's Office,13,Sheriff's office,AR,Yell,Danville,15,3,4,72833,5149
Lucedale Police Department,13,Local police department,MS,George,Lucedale,6,2,3,39452,28039
Port Clinton Police Department,13,Local police department,OH,Ottawa,Port Clinton,5,2,4,43452,39123
West Conshohocken Borough Police Department,13,Local police department,PA,Montgomery,Conshohocken,1,0,4,19428,42091
Waseca County Sheriff's Office,13,Sheriff's office,MN,Waseca,Waseca,2,2,1,56093,27161
High Springs Police Department,13,Local police department,FL,Alachua,High Springs,4,2,6,32655,12001
Jackson Police Department,13,Local police department,GA,Butts,Jackson,5,0,1,30233,13035
Atlantis Police Department,13,Local police department,FL,Palm Beach,Atlantis,5,3,2,33462,12099
Ogden Town Police Department,13,Local police department,NY,Monroe,Spencerport,3,4,0,14559,36055
Elba Police Department,13,Local police department,AL,Coffee,Elba,9,1,1,36323,1031
University of Pittsburgh at Johnstown Police,13,Special jurisdiction,PA,Cambria,Johnstown,1,0,7,15904,42021
Oakwood Village Police Department,13,Local police department,OH,Cuyahoga,Bedford,0,5,8,44146,39035
University of North Carolina - Pembroke Police Dept,13,Special jurisdiction,NC,Robeson,Pembroke,3,1,0,28372,37155
California State University - East Bay Police,13,Special jurisdiction,CA,Alameda,Hayward,10,0,0,94542,6001
Ocean Ridge Public Safety Dept.,13,Local police department,FL,Palm Beach,Ocean Ridge,5,0,1,33435,12099
Wayne County Sheriff's Office,13,Sheriff's office,PA,Wayne,Honesdale,3,0,1,18431,42127
University of Wyoming Police Department,13,Special jurisdiction,WY,Albany,Laramie,11,7,0,82071,56001
Southwestern Illinois College Police Dept,13,Special jurisdiction,IL,St. Clair,Belleville,5,18,0,62221,17163
Hidalgo County Constable Pct. 4,13,Constable/marshal,TX,Hidalgo,Edinburg,1,0,10,78542,48215
Woodfin Police Department,13,Local police department,NC,Buncombe,Woodfin,1,0,0,28804,37021
Flowery Branch Police Dept,13,Local police department,GA,Hall,Flowery Branch,2,0,0,30542,13139
University of Montana - Missoula Police,13,Special jurisdiction,MT,Missoula,Missoula,13,1,0,56812,30063
Quartzsite Police Departmemt,13,Local police department,AZ,La Paz,Quartzsite,2,0,0,85346,4012
Gray Police Department,13,Local police department,GA,Jones,Gray,1,0,4,31032,13169
SUNY Upstate Medical University Police,13,Special jurisdiction,NY,Onondaga,Syracuse,69,0,0,13210,36067
Marion County Sheriff's Office,13,Sheriff's office,AL,Marion,Hamilton,14,0,0,35570,1093
Nelson County Sheriff's Office,13,Sheriff's office,VA,Nelson,Lovingston,1,7,8,22949,51125
Millsboro Police Department,13,Local police department,DE,Sussex,Millsboro,1,0,0,19966,10005
Frisco Police Department,13,Local police department,CO,Summit,Frisco,3,0,0,80443,8117
Framingham State College Campus Police,13,Special jurisdiction,MA,Middlesex,Framingham,4,0,0,1701,25017
Montgomery County Sheriff's Office,13,Sheriff's office,KY,Montgomery,Mt. Sterling,2,2,4,40353,21173
Essex Fells Police,13,Local police department,NJ,Essex,Essex Fells,0,0,0,7021,34013
Buchanan County Sheriff's Office,13,Sheriff's office,IA,Buchanan,Independence,17,3,0,50644,19019
Magee Police Department,13,Local police department,MS,Simpson,Magee,4,5,10,39111,28127
Amarillo College Police Dept.,13,Special jurisdiction,TX,Potter,Amarillo,2,0,0,79178,48375
Geneseo Police Dept,13,Local police department,IL,Henry,Geneseo,7,0,0,61254,17073
Randolph County Sheriff's Office,13,Sheriff's office,IL,Randolph,Chester,13,11,6,62233,17157
North Carolina State Ports Authority - Wilmington,13,Special jurisdiction,NC,New Hanover,Wilmington,8,0,0,27699,37129
Weiser Police Department,13,Local police department,ID,Washington,Weiser,3,0,0,83672,16087
California University of Pennsylvania Police,13,Special jurisdiction,PA,Washington,California,3,0,0,15419,42125
University of Southern Maine Police Department,13,Special jurisdiction,ME,Cumberland,Gorham,10,3,2,4038,23005
Monument Police Department,13,Local police department,CO,El Paso,Monument,3,2,1,80132,8041
Perry Police Department,13,Local police department,IA,Dallas,Perry,7,1,0,50220,19049
Waverly Police Department,13,Local police department,OH,Pike,Waverly,4,2,2,45690,39131
Hogansville Police Department,13,Local police department,GA,Troup,Hogansville,6,0,0,30230,13285
Burnet Police Department,13,Local police department,TX,Burnet,Burnet,2,0,0,78611,48053
Quinsigamond Community College Campus Police,13,Special jurisdiction,MA,Worcester,Worcester,0,1,0,1606,25027
Pojoaque Tribal Police Department,13,Local police department,NM,Santa Fe,Santa Fe,7,0,0,87506,35049
Windsor Heights Police Department,13,Local police department,IA,Polk,Windsor Heights,2,0,0,50311,19153
Lamb County Sheriff's Office,13,Sheriff's office,TX,Lamb,Littlefield,18,0,0,79339,48279
Clinton Police Dept,13,Local police department,IL,De Witt,Clinton,2,0,1,61727,17039
Posen Police Dept,13,Local police department,IL,Cook,Posen,2,0,6,60469,17031
Parker Police Department,13,Local police department,AZ,La Paz,Parker,2,3,0,85344,4012
Greensboro Police Department,13,Local police department,GA,Greene,Greensboro,4,3,2,30642,13133
Windermere Police Department,13,Local police department,FL,Orange,Windermere,1,0,5,34786,12095
Bishop Police Department,13,Local police department,CA,Inyo,Bishop,9,6,0,93514,6027
University of North Carolina - Asheville Public Safety,13,Special jurisdiction,NC,Buncombe,Asheville,8,0,0,28804,37021
Hubbard County Sheriff's Office,13,Sheriff's office,MN,Hubbard,Park Rapids,28,6,9,56470,27057
Unalaska Dept of Public Safety,13,Local police department,AK,Aleutians West,Unalaska,15,0,0,99685,2016
Airway Heights Police Department,13,Local police department,WA,Spokane,Airway Heights,1,3,0,99001,53063
Taylor County Constable Pct. 1,13,Constable/marshal,TX,Taylor,Abilene,0,0,3,79602,48441
Orland Hills Police Dept,13,Local police department,IL,Cook,Orland Hills,1,14,12,60477,17031
Palmetto Police Department,13,Local police department,GA,Fulton,Palmetto,3,2,0,30268,13121
Nisqually Tribal Police Dept - Fisheries Division,13,Special jurisdiction,WA,Thurston,Olympia,19,0,0,98513,53067
Sonoma State University Police,13,Special jurisdiction,CA,Sonoma,Rohnert Park,8,2,0,94928,6097
Clayton State University Dept of Public Safety,13,Special jurisdiction,GA,Clayton,Morrow,0,11,1,30260,13063
Hudson River Psychiatric Center Safety Division,13,Special jurisdiction,NY,Dutchess,Poughkeepsie,0,0,0,12601,36027
Cedar Rapids Airport Police,13,Special jurisdiction,IA,Linn,Cedar Rapids,0,0,0,52404,19113
Fairfield Police Dept,13,Local police department,IL,Wayne,Fairfield,4,0,0,62837,17191
Fort Wayne International Airport,13,Special jurisdiction,IN,Allen,Fort Wayne,0,0,0,46809,18003
Fond Du Lac Tribal Police Department,13,Local police department,MN,Carlton,Cloquet,6,0,0,55720,27017
Tarleton State University Police Dept.,13,Special jurisdiction,TX,Erath,Stephenville,1,0,2,76402,48143
Brookdale Community College Police,13,Special jurisdiction,NJ,Monmouth,Lincroft,8,5,0,7738,34025
Highwood Police Dept,13,Local police department,IL,Lake,Highwood,1,1,4,60040,17097
Burleson County Sheriff's Office,13,Sheriff's office,TX,Burleson,Caldwell,19,2,1,77836,48051
Emmett Police Department,13,Local police department,ID,Gem,Emmett,1,5,0,83617,16045
College of Lake County Police Dept,13,Special jurisdiction,IL,Lake,Grayslake,7,2,0,60030,17097
Fox River Grove Police Dept,13,Local police department,IL,McHenry,Fox River Grove,0,0,0,60021,17111
Chester Township Police Department,13,Local police department,OH,Geauga,Chesterland,1,0,2,44026,39055
Nicholls State University Police,13,Special jurisdiction,LA,Lafourche,Thibodaux,5,10,0,70310,22057
Pocahontas Police Department,13,Local police department,AR,Randolph,Pocahontas,1,0,1,72455,5121
Neosho County Sheriff's Office,13,Sheriff's office,KS,Neosho,Erie,21,5,5,66733,20133
Brown County Sheriff's Office,13,Sheriff's office,IN,Brown,Nashville,25,0,11,47448,18013
Robertsdale Police Department,13,Local police department,AL,Baldwin,Robertsdale,14,2,1,36567,1003
Connecticut Department of Revenue Services,13,Special jurisdiction,CT,Hartford,Hartford,0,10,0,6106,9003
Tishomingo County Sheriff's Office,13,Sheriff's office,MS,Tishomingo,Iuka,12,10,10,38852,28141
Everman Police Department,13,Local police department,TX,Tarrant,Everman,5,1,2,76140,48439
Fruitland Park Police Department,13,Local police department,FL,Lake,Fruitland Park,1,0,5,34731,12069
Norwalk Police Department,13,Local police department,IA,Warren,Norwalk,2,1,2,50211,19181
Gonzales Police Department,13,Local police department,CA,Monterey,Gonzales,3,0,0,93926,6053
Mercer County Sheriff's Office,13,Sheriff's office,PA,Mercer,Mercer,3,0,8,16137,42085
Wyandotte County Park Rangers,13,Special jurisdiction,KS,Wyandotte,Kansas City,0,0,1,66109,20209
Barren County Sheriff's Office,13,Sheriff's office,KY,Barren,Glasgow,4,1,1,42141,21009
Fitchburg State College Campus Police,13,Special jurisdiction,MA,Worcester,Fitchburg,3,1,2,1420,25027
Massasoit Community College Police Department,13,Special jurisdiction,MA,Plymouth,Brockton,3,1,0,2302,25023
Oklahoma City Marshal Office,13,Constable/marshal,OK,Oklahoma,"Okla. City,",6,0,0,73102,40109
Cobleskill Village Police Department,13,Local police department,NY,Schoharie,Cobleskill,1,0,0,12043,36095
Denison Police Department,13,Local police department,IA,Crawford,Denison,5,3,0,51442,19047
Rusk County Sheriff's Office,13,Sheriff's office,WI,Rusk,Ladysmith,16,3,0,54848,55107
Cumming Police Department,13,Local police department,GA,Forsyth,Cumming,6,3,5,30040,13117
Roanoke Regional Airport Police,13,Special jurisdiction,VA,Roanoke,Roanoke,0,0,0,24012,51161
Lewes Police Department,13,Local police department,DE,Sussex,Lewes,1,1,0,19958,10005
Saunders County Sheriff's Office,13,Sheriff's office,NE,Saunders,Wahoo,21,14,10,68066,31155
Mahnomen County Sheriff's Office,13,Sheriff's office,MN,Mahnomen,Mahnomen,7,4,1,56557,27087
Sylva Police Department,13,Local police department,NC,Jackson,Sylva,1,0,2,28779,37099
De Queen Police Department,13,Local police department,AR,Sevier,De Queen,3,0,0,71832,5133
Essex County College Police,13,Special jurisdiction,NJ,Essex,Newark,39,3,4,7102,34013
Mena Police Department,13,Local police department,AR,Polk,Mena,1,0,20,71953,5113
Lavonia Police Department,13,Local police department,GA,Franklin,Lavonia,1,0,0,30553,13119
Montgomery County Constable Pct. 4,13,Constable/marshal,TX,Montgomery,New Caney,0,0,0,77357,48339
International Falls Police Department,13,Local police department,MN,Koochiching,International Falls,1,0,0,56649,27071
Buffalo Police Department,13,Local police department,WY,Johnson,Buffalo,10,0,0,82834,56019
Brookhaven College Police,13,Special jurisdiction,TX,Dallas,Farmers Branch,9,0,0,75244,48113
Brookings Police Department,13,Local police department,OR,Curry,Brookings,7,0,0,97415,41015
Centreville Police Dept,13,Local police department,IL,St. Clair,Centreville,2,4,4,62207,17163
Blackshear Police Department,13,Local police department,GA,Pierce,Blackshear,3,0,0,31516,13229
Johnson Police Department,13,Local police department,AR,Washington,Johnson,3,0,0,72741,5143
Tehachapi Police Department,13,Local police department,CA,Kern,Tehachapi,3,0,0,93561,6029
Jasper County Sheriff's Office,13,Sheriff's office,MS,Jasper,Bay Springs,14,0,4,39422,28061
Travis County Constable Pct. 1,13,Constable/marshal,TX,Travis,Austin,0,0,17,78721,48453
Webster City Police Department,13,Local police department,IA,Hamilton,Webster City,4,8,0,50595,19079
Mississippi Delta Community College Police Dept,13,Special jurisdiction,MS,Sunflower,Moorhead,1,1,4,38761,28133
Brazos River Authority,13,Special jurisdiction,TX,Palo Pinto,Graford,0,0,1,76449,48363
Baltimore City Community College Police,13,Special jurisdiction,MD,Baltimore City,Baltimore,31,0,0,21215,24510
Sonora Police Department,13,Local police department,CA,Tuolumne,Sonora,4,5,1,95370,6109
Kentucky State University Police Department,13,Special jurisdiction,KY,Franklin,Frankfort,15,4,0,40601,21073
Warrior Police Department,13,Local police department,AL,Jefferson,Warrior,6,0,1,35180,1073
Torrance County Sheriff's Office,12,Sheriff's office,NM,Torrance,Estancia,2,10,1,87016,35057
Sansom Park Police Department,12,Local police department,TX,Tarrant,Fort Worth,5,0,0,76114,48439
Fairfield Police Department,12,Local police department,ME,Somerset,Fairfield,1,1,6,4937,23025
Cottage Grove Police Department,12,Local police department,WI,Dane,Cottage Grove,1,1,4,53527,55025
Vivian Police Department,12,Local police department,LA,Caddo,Vivian,2,1,6,71082,22017
Kansas State Fire Marshal,12,Special jurisdiction,KS,Shawnee,Topeka,37,0,0,66603,20177
Barbour County Sheriff's Office,12,Sheriff's office,AL,Barbour,Clayton,19,0,0,36016,1005
Conecuh County Sheriff's Office,12,Sheriff's office,AL,Conecuh,Evergreen,25,0,0,36401,1035
Claycomo Police Department,12,Local police department,MO,Clay,Claycomo,4,0,4,64119,29047
Crawford Town Police Department,12,Local police department,NY,Orange,Pine Bush,2,11,10,12566,36071
Piscataquis County Sheriff's Office,12,Sheriff's office,ME,Piscataquis,Dover Foxcroft,22,8,22,4426,23021
King & Queen County Sheriff's Office,12,Sheriff's office,VA,King and Queen,King And Queen Court House,8,1,1,23085,51097
Hyde County Sheriff's Office,12,Sheriff's office,NC,Hyde,Swanquarter,5,0,0,27885,37095
Monmouth Police Department,12,Local police department,OR,Polk,Monmouth,2,2,0,97361,41053
Princess Anne Police Department,12,Local police department,MD,St. Marys,Princess Anne,2,0,2,21853,24037
Jack County Sheriff's Office,12,Sheriff's office,TX,Jack,Jacksboro,20,1,0,76458,48237
Somerville Police Department,12,Local police department,TN,Fayette,Somerville,0,0,0,38068,47047
Chitimacha Tribal Police Department,12,Local police department,LA,St. Mary,Charenton,2,0,0,70523,22101
Madill Police Department,12,Local police department,OK,Marshall,Madill,1,0,0,73446,40095
Bath County Sheriff's Office,12,Sheriff's office,VA,Bath,Warm Springs,6,0,0,24484,51017
Knox County Sheriff's Office,12,Sheriff's office,IN,Knox,Vincennes,3,1,25,47591,18083
Cornwall Town Police Department,12,Local police department,NY,Orange,Cornwall,4,8,9,12518,36071
Gage County Sheriff's Office,12,Sheriff's office,NE,Gage,Beatrice,12,10,4,68310,31067
Tensas Parish Sheriff's Office,12,Sheriff's office,LA,Tensas,Saint Joseph,20,0,3,71366,22107
North Branch Police Department,12,Local police department,MN,Chisago,North Branch,2,4,0,55056,27025
Tuxedo Town Police Department,12,Local police department,NY,Orange,Tuxedo Park,3,6,0,10987,36071
Tallahatchie County Sheriff's Office,12,Sheriff's office,MS,Tallahatchie,Charleston,16,5,3,38921,28135
Mathews County Sheriff's Office,12,Sheriff's office,VA,Mathews,Mathews,7,4,2,23109,51115
Greenwood Police Department,12,Local police department,MO,Jackson,Greenwood,0,0,2,64034,29095
Cramerton Police Department,12,Local police department,NC,Gaston,Cramerton,0,0,6,28032,37071
Tama County Sheriff's Office,12,Sheriff's office,IA,Tama,Toledo,8,4,0,52342,19171
New Carrolton Police Department,12,Local police department,MD,Prince Georges,New Carrolton,3,0,0,20784,24033
South Toms River Police,12,Local police department,NJ,Ocean,South Toms River,1,0,2,8757,34029
Franklin County Sheriff's Office,12,Sheriff's office,IN,Franklin,Brookville,15,7,0,47012,18047
Trenton Police Department,12,Local police department,MO,Grundy,Trenton,7,2,2,64683,29079
