name,sworn,type,state,county,city,ftciv,ptciv,ptsworn,zip,fips
South Carolina Highway Patrol,967,Primary state law enforcement agency,SC,Richland,Blythewood,197,29,53,29016,45079
Alameda County Sheriff's Office,928,Sheriff's office,CA,Alameda,Oakland,679,6,0,94612,6001
Portland Police Bureau,928,Local police department,OR,Multnomah,Portland,277,9,1,97204,41051
Minneapolis Police Department,902,Local police department,MN,Hennepin,Minneapolis,223,0,0,55415,27053
Jersey City Police,900,Local police department,NJ,Hudson,Jersey City,300,0,0,7302,34017
Pittsburgh Police Department,891,Local police department,PA,Allegheny,Pittsburgh,72,0,0,15233,42003
Kentucky State Police,882,Primary state law enforcement agency,KY,Franklin,Frankfort,972,0,0,40601,21073
Pinellas County Sheriff's Office,863,Sheriff's office,FL,Pinellas,Largo,2113,154,0,33779,12103
San Francisco Sheriff's Department,838,Sheriff's office,CA,San Francisco,San Francisco,175,0,0,94102,6075
Mesa Police Department,831,Local police department,AZ,Maricopa,Mesa,488,0,1,85201,4013
Fresno Police Department,828,Local police department,CA,Fresno,Fresno,438,0,0,93721,6019
Tulsa Police Department,826,Local police department,OK,Tulsa,Tulsa,108,0,0,74103,40143
Jefferson Parish Sheriff's Office,825,Sheriff's office,LA,Jefferson,Harvey,623,11,24,70058,22051
Oklahoma Department of Public Safety,825,Primary state law enforcement agency,OK,Oklahoma,"Okla. City,",663,0,0,73136,40109
Birmingham Police Department,816,Local police department,AL,Jefferson,Birmingham,303,0,0,35203,1073
Virginia Beach Police Department,813,Local police department,VA,Virginia Beach City,Virginia Beach,155,20,0,23456,51810
Oakland County Sheriff's Office,796,Sheriff's office,MI,Oakland,Pontiac,176,8,215,48341,26125
Buffalo Police Department,793,Local police department,NY,Erie,Buffalo,141,0,0,14202,36029
St. Louis County Police Dept,781,Local police department,MO,St. Louis,St Louis,242,6,0,63105,29189
Oakland Police Department,773,Local police department,CA,Alameda,Oakland,291,46,0,94607,6001
Norfolk Police Department,772,Local police department,VA,Norfolk City,Norfolk,122,0,0,23510,51710
Maricopa County Sheriff's Office,766,Sheriff's office,AZ,Maricopa,Phoenix,2769,0,0,85003,4013
Alabama Department of Public Safety,763,Primary state law enforcement agency,AL,Montgomery,Montgomery,679,11,0,36102,1101
Orlando Police Department,757,Local police department,FL,Orange,Orlando,40,0,0,32801,12095
Ventura County Sheriff's Office,755,Sheriff's office,CA,Ventura,Ventura,482,0,0,93009,6111
Richmond Police Department,752,Local police department,VA,Richmond City,Richmond,268,1,0,23220,51760
Omaha Police Dept,747,Local police department,NE,Douglas,Omaha,138,12,32,68102,31055
Colorado State Patrol,742,Primary state law enforcement agency,CO,Jefferson,Lakewood,260,0,0,80215,8059
Marion County Sheriff's Office,740,Sheriff's office,IN,Marion,Indianapolis,282,23,11,46204,18097
King County Sheriff's Office,721,Sheriff's office,WA,King,Seattle,343,0,0,98104,53033
Rochester Police Department,703,Local police department,NY,Monroe,Rochester,164,0,0,14614,36055
Raleigh Police Department,702,Local police department,NC,Wake,Raleigh,820,19,0,27602,37183
Sacramento Police Department,701,Local police department,CA,Sacramento,Sacramento,329,0,0,95822,6067
New York State Metropolitan Transportation Authority Police,694,Special jurisdiction,NY,New York,New York,57,0,0,10017,36061
Gwinnett County Police Department,682,Local police department,GA,Gwinnett,Lawrenceville,287,0,0,30045,13135
Contra Costa County Sheriff's Office,679,Sheriff's office,CA,Contra Costa,Martinez,328,2,0,94553,6013
Iowa Department of Public Safety,669,Primary state law enforcement agency,IA,Polk,Des Moines,314,78,0,50319,19153
Colorado Springs Police Department,668,Local police department,CO,El Paso,Colorado Springs,293,8,3,80901,8041
West Virginia State Police,667,Primary state law enforcement agency,WV,Kanawha,South Charleston,358,0,0,25309,54039
Wichita Police Department,662,Local police department,KS,Sedgwick,Wichita,180,3,0,67202,20173
Delaware State Police,658,Primary state law enforcement agency,DE,Kent,Dover,240,0,0,19903,10001
California Parks & Recreation - Law Enforcement,645,Special jurisdiction,CA,Sacramento,Sacramento,9,1,82,95814,6067
Yonkers Police Department,641,Local police department,NY,Westchester,Yonkers,80,0,0,10701,36119
Toledo Police Department,640,Local police department,OH,Lucas,Toledo,135,0,0,43624,39095
Anne Arundel County Police Department,633,Local police department,MD,Anne Arundel,Millersville,221,192,0,21108,24003
Baton Rouge Police Department,630,Local police department,LA,East Baton Rouge,Baton Rouge,173,0,0,70802,22033
Collier County Sheriff's Office,628,Sheriff's office,FL,Collier,Naples,657,55,3,34112,12021
Aurora Police Department,627,Local police department,CO,Arapahoe,Aurora,140,7,0,80012,8005
Lee County Sheriff's Office,621,Sheriff's office,FL,Lee,Fort Myers,408,3,22,33912,12071
Arlington Police Department,610,Local police department,TX,Tarrant,Arlington,176,12,24,76011,48439
